GEOID,med_income_E,is_urban,pop_dens,total_ridership
26125,37764,TRUE,556.613644329154,74409
26139,29568,TRUE,194.62733007450836,36838
26147,27389,TRUE,85.42887418166943,19822
26155,28152,FALSE,49.83400582454197,13738
26159,26243,FALSE,47.841832876803316,4180
26161,32412,TRUE,200.14908364232616,158101
26163,25416,TRUE,1111.0856175452843,139480
27005,30309,FALSE,9.914689776492077,4877
27009,30733,TRUE,37.616279151520594,9566
27049,33347,TRUE,23.577689225207124,8263
27123,31932,TRUE,1373.5518783832365,85627
27153,27374,FALSE,9.985736193011638,5723
27169,26161,TRUE,31.35094952026496,14711
28029,22007,FALSE,14.26738413147668,1326
28035,19998,TRUE,62.52711456482854,8685
28049,24419,TRUE,107.33018550121265,44645
28067,23603,FALSE,38.0403379056298,3924
28075,22441,TRUE,42.42914714751266,9090
28083,17595,TRUE,19.420484721158775,13907
28085,23151,FALSE,22.682016668747387,4004
28109,23196,FALSE,26.259857431653742,2119
28113,19193,FALSE,37.51098887567291,4770
28119,15946,FALSE,7.027798742010297,622
28163,18750,FALSE,11.702540375952196,3185
29023,20589,FALSE,23.751307997003707,4640
29051,32457,TRUE,75.24943201044276,39395
29071,28841,FALSE,43.009408262968805,15890
29073,26072,FALSE,10.995421971132266,26037
29093,19939,FALSE,7.171799931994412,1018
29095,30564,TRUE,442.0191207419063,187664
29101,24254,FALSE,24.996860377296155,12046
29121,23124,FALSE,7.350733200531147,11124
29159,23369,TRUE,23.97977933730198,9289
29189,33890,TRUE,759.3427714057987,55213
29510,26184,TRUE,1941.2924930624113,362172
30029,27234,FALSE,7.443435885232665,63650
30035,17240,TRUE,1.7654621604992955,18144
30041,25164,TRUE,2.189455769632421,11102
30053,20952,FALSE,2.068735071190513,4958
30071,24747,FALSE,0.3097810279647346,3570
30085,22260,TRUE,1.8409917941578353,4447
30101,23511,TRUE,1.0029217589926602,10387
30105,26761,FALSE,0.5903834150825433,5434
31001,26572,TRUE,21.64896428624657,5304
31055,32840,TRUE,652.3995724410148,27524
31109,30182,TRUE,142.95049000957894,18474
31137,30534,TRUE,6.523378390489081,2225
32007,37084,TRUE,1.1750032863533386,8656
32013,33956,TRUE,0.6769874297698526,4525
