NCESSCH,SCHNAM04,FRELCH04,REDLCH04,TOTFRL04,MEMBER04,ASIAN04,HISP04,BLACK04,WHITE04,PUPTCH04,SCHNAM06,FRELCH06,REDLCH06,TOTFRL06,MEMBER06,ASIAN06,HISP06,BLACK06,WHITE06,PUPTCH06
220087000683,S.J. MONTGOMERY ELEMENTARY SCHOOL,268,77,345,617,12,9,265,329,11.8,S.J. MONTGOMERY ELEMENTARY SCHOOL,333,59,392,616,15,17,294,285,13.4
220087000684,N. P. MOSS MIDDLE SCHOOL,538,30,568,647,1,2,588,56,13.5,N. P. MOSS MIDDLE SCHOOL,383,23,406,487,0,1,457,28,10.1
220087000685,MYRTLE PLACE ELEMENTARY SCHOOL,178,16,194,291,5,4,189,93,7.7,MYRTLE PLACE ELEMENTARY SCHOOL,144,14,158,240,5,2,142,91,8.9
220087000686,NORTHSIDE HIGH SCHOOL,709,95,804,1054,1,3,874,173,15.5,NORTHSIDE HIGH SCHOOL,689,75,764,1055,0,7,913,134,16.6
220087000687,PLANTATION ELEMENTARY SCHOOL,161,31,192,583,12,17,192,357,13,PLANTATION ELEMENTARY SCHOOL,209,30,239,593,15,15,209,350,12.6
220087000688,PRAIRIE ELEMENTARY SCHOOL,312,68,380,871,15,25,330,497,13.8,PRAIRIE ELEMENTARY SCHOOL,372,86,458,900,17,34,382,466,15.9
220087000690,SCOTT MIDDLE SCHOOL,503,117,620,940,6,9,359,565,14.1,SCOTT MIDDLE SCHOOL,471,105,576,921,4,17,405,494,14.4
220087000691,TRUMAN ELEMENTARY SCHOOL,45,0,45,705,13,28,389,272,22,TRUMAN ELEMENTARY SCHOOL,24,4,28,689,13,44,380,248,26
220087000693,WESTSIDE ELEMENTARY SCHOOL,232,24,256,386,3,3,185,194,14.6,WESTSIDE ELEMENTARY SCHOOL,233,40,273,372,6,8,178,178,14.9
220087000694,WOODVALE ELEMENTARY SCHOOL,210,34,244,641,19,8,198,416,13.8,WOODVALE ELEMENTARY SCHOOL,223,46,269,630,19,14,221,376,13.200000000000001
220087000695,YOUNGSVILLE MIDDLE SCHOOL,176,77,253,621,1,5,93,520,16.7,YOUNGSVILLE MIDDLE SCHOOL,164,64,228,656,1,11,63,575,17.400000000000002
220087000884,LAFAYETTE CHARTER HIGH SCHOOL,21,7,28,75,0,1,15,58,7.9,LAFAYETTE CHARTER HIGH SCHOOL,28,4,32,87,0,1,17,69,11.9
220087001147,CHARLES M. BURKE ELEMENTARY SCHOOL,353,59,412,667,8,11,270,376,12.9,CHARLES M. BURKE ELEMENTARY SCHOOL,373,55,428,695,9,15,291,379,15.1
220087001173,ERNEST GALLET ELEMENTARY SCHOOL,185,55,240,873,12,14,146,692,15.2,ERNEST GALLET ELEMENTARY SCHOOL,204,69,273,940,20,19,186,713,16.1
220087001176,LIVE OAK ELEMENTARY SCHOOL,472,65,537,731,5,5,499,220,13.8,LIVE OAK ELEMENTARY SCHOOL,484,56,540,730,4,12,543,167,15.3
220087001546,J. WALLACE JAMES ELEMENTARY SCHOOL,419,72,491,712,3,9,362,338,13.6,J. WALLACE JAMES ELEMENTARY SCHOOL,479,112,591,802,4,5,385,408,14.8
220087001556,OSSUN ELEMENTARY SCHOOL,455,86,541,826,4,8,382,428,16.5,OSSUN ELEMENTARY SCHOOL,504,88,592,849,2,11,398,436,17.6
220087001598,EVANGELINE ELEMENTARY SCHOOL,348,71,419,645,3,3,430,206,12.2,EVANGELINE ELEMENTARY SCHOOL,363,60,423,651,1,11,433,205,14.9
220087001600,RIDGE ELEMENTARY SCHOOL,211,53,264,554,16,8,138,392,12.5,RIDGE ELEMENTARY SCHOOL,240,62,302,641,37,50,143,410,15
220090000697,BAYOU BLUE ELEMENTARY SCHOOL,319,76,395,633,2,16,37,533,12.4,BAYOU BLUE ELEMENTARY SCHOOL,376,104,480,755,3,22,52,616,13.4
220090000698,BAYOU BOEUF ELEMENTARY SCHOOL,56,42,98,163,0,1,1,158,11.8,BAYOU BOEUF ELEMENTARY SCHOOL,76,50,126,220,0,1,1,215,11.700000000000001
220090000699,CENTRAL LAFOURCHE HIGH SCHOOL,456,135,591,1413,3,14,214,1146,16.1,CENTRAL LAFOURCHE HIGH SCHOOL,547,129,676,1476,5,16,260,1147,17.1
220090000700,CHACKBAY ELEMENTARY SCHOOL,107,38,145,294,0,1,16,275,11.4,CHACKBAY ELEMENTARY SCHOOL,121,61,182,394,0,1,30,358,12
220090000701,SIXTH WARD MIDDLE SCHOOL,82,44,126,274,1,1,7,264,14,SIXTH WARD MIDDLE SCHOOL,82,49,131,286,0,2,7,275,13.1
220090000702,CUT OFF ELEMENTARY SCHOOL,165,65,230,450,10,23,4,373,12,CUT OFF ELEMENTARY SCHOOL,207,63,270,474,10,31,9,377,11.8
220090000703,EAST THIBODAUX MIDDLE SCHOOL,276,48,324,552,1,4,213,328,13.2,EAST THIBODAUX MIDDLE SCHOOL,237,24,261,397,1,8,212,174,11
220090000704,GALLIANO ELEMENTARY SCHOOL,167,55,222,379,0,18,9,321,11.4,GALLIANO ELEMENTARY SCHOOL,155,60,215,380,4,22,16,300,12.9
220090000706,GOLDEN MEADOW MIDDLE SCHOOL,243,82,325,527,4,20,5,442,15.4,GOLDEN MEADOW MIDDLE SCHOOL,220,71,291,480,4,30,3,390,13.5
220090000707,GOLDEN MEADOW LOWER ELEMENTARY SCHOOL,184,54,238,353,6,3,5,275,10.9,GOLDEN MEADOW LOWER ELEMENTARY SCHOOL,149,32,181,258,3,4,5,204,11.200000000000001
220090000708,GOLDEN MEADOW UPPER ELEMENTARY SCHOOL,110,34,144,205,4,8,1,163,12.2,GOLDEN MEADOW UPPER ELEMENTARY SCHOOL,132,42,174,254,4,5,7,198,13.1
220090000709,W.S. LAFARGUE ELEMENTARY SCHOOL,374,43,417,539,7,4,286,230,10.6,W.S. LAFARGUE ELEMENTARY SCHOOL,405,38,443,564,7,13,319,217,11.5
220090000710,LAROSE LOWER ELEMENTARY SCHOOL,205,66,271,441,14,20,35,337,11.5,LAROSE LOWER ELEMENTARY SCHOOL,163,44,207,340,9,27,25,257,12.4
220090000711,LAROSE-CUT OFF MIDDLE SCHOOL,229,65,294,644,10,17,40,521,15.9,LAROSE-CUT OFF MIDDLE SCHOOL,186,66,252,557,12,15,32,459,13.4
220090000712,LOCKPORT MIDDLE SCHOOL,160,44,204,418,1,2,22,383,14.1,LOCKPORT MIDDLE SCHOOL,133,39,172,372,0,6,17,343,14.3
220090000713,LOCKPORT LOWER ELEMENTARY SCHOOL,135,51,186,349,0,11,12,314,11.6,LOCKPORT LOWER ELEMENTARY SCHOOL,157,53,210,356,1,6,13,326,12.3
220090000714,LOCKPORT UPPER ELEMENTARY SCHOOL,150,46,196,351,0,6,22,313,13.5,LOCKPORT UPPER ELEMENTARY SCHOOL,125,48,173,345,0,9,11,313,14.3
220090000716,RACELAND MIDDLE SCHOOL,442,73,515,777,0,13,243,490,15.6,RACELAND MIDDLE SCHOOL,380,64,444,670,0,11,190,448,13.3
220090000717,RACELAND LOWER ELEMENTARY SCHOOL,305,36,341,417,0,9,211,193,11,RACELAND LOWER ELEMENTARY SCHOOL,285,22,307,390,0,4,207,173,10.200000000000001
220090000718,RACELAND UPPER ELEMENTARY SCHOOL,273,44,317,409,0,6,191,212,11.8,RACELAND UPPER ELEMENTARY SCHOOL,276,26,302,387,0,8,196,180,12.700000000000001
220090000719,ST. CHARLES ELEMENTARY SCHOOL,77,17,94,215,0,5,30,178,12.1,ST. CHARLES ELEMENTARY SCHOOL,75,24,99,227,0,8,22,196,10.700000000000001
220090000721,SOUTH LAFOURCHE HIGH SCHOOL,371,145,516,1294,31,33,36,1095,17.1,SOUTH LAFOURCHE HIGH SCHOOL,380,142,522,1346,22,46,46,1127,17.1
220090000722,SOUTH THIBODAUX ELEMENTARY SCHOOL,292,29,321,414,3,0,250,157,10.2,SOUTH THIBODAUX ELEMENTARY SCHOOL,433,43,476,580,3,10,345,216,11.1
220090000724,THIBODAUX ELEMENTARY SCHOOL,568,44,612,769,2,5,451,309,10.9,THIBODAUX ELEMENTARY SCHOOL,428,46,474,620,2,5,332,278,11.700000000000001
220090000725,THIBODAUX HIGH SCHOOL,701,131,832,1555,15,7,573,948,16,THIBODAUX HIGH SCHOOL,676,143,819,1594,12,14,551,1000,17
220090000727,WEST THIBODAUX MIDDLE SCHOOL,334,52,386,557,5,0,270,278,12.5,WEST THIBODAUX MIDDLE SCHOOL,325,40,365,506,3,3,255,239,12.9
220090001520,BAYOU LAFOURCHE MARINE INSTITUTE,26,0,26,45,0,0,33,11,12.9,BAYOU LAFOURCHE MARINE INSTITUTE,28,4,32,40,0,0,26,12,10
220090001547,LAFOURCHE PARISH JUVENILE JUSTICE FACILITY,1,0,1,6,0,0,3,3,6,LAFOURCHE PARISH JUVENILE JUSTICE FACILITY,-2,-1,-1,5,0,0,3,2,7.1000000000000005
220090001603,LAROSE UPPER ELEMENTARY SCHOOL,85,23,108,210,5,8,18,167,13,LAROSE UPPER ELEMENTARY SCHOOL,160,38,198,340,9,14,29,259,14.200000000000001
220096000729,FELLOWSHIP ELEMENTARY SCHOOL,59,33,92,215,0,1,0,214,18.7,FELLOWSHIP ELEMENTARY SCHOOL,37,16,53,195,0,1,0,192,15.4
220096000730,GOODPINE MIDDLE SCHOOL,128,35,163,243,0,0,53,184,15.4,GOODPINE MIDDLE SCHOOL,135,28,163,268,0,0,56,209,17.6
220096000731,JENA ELEMENTARY SCHOOL,258,70,328,492,0,1,106,380,14.9,JENA ELEMENTARY SCHOOL,245,67,312,519,0,3,97,414,16.1
220096000732,JENA HIGH SCHOOL,178,53,231,500,1,2,91,401,13.4,JENA HIGH SCHOOL,199,52,251,521,0,2,90,424,15.1
220096000733,JENA JUNIOR HIGH SCHOOL,89,29,118,209,0,1,47,158,14.1,JENA JUNIOR HIGH SCHOOL,86,27,113,206,0,0,42,159,14.5
