pop_dens_km2,INCTOT,mode,TRANTIME
779.8607376082659,76359,Car,20
18.33267418049767,26073,Car,25
1393.5816733885115,173080,Car,15
114.67716469979418,49331,Car,20
3130.354728846658,85000,Car,25
355.320913042159,96721,Car,70
1741.7687028962457,43779,Car,40
4526.360056790183,18773,Transit,141
543.0700466147426,68183,Car,30
964.2654641443904,28000,Car,15
278.8263734624197,155161,Car,35
235.47831910320036,70142,Car,30
1069.5467274491916,25899,Car,5
28.1728158848998,12880,Car,20
54.36875488796769,6618,Car,12
137.84136844086063,241720,Car,10
1884.2009010435795,134996,Car,50
174.56814913513352,97120,Car,75
814.1070662668714,10996,Car,40
2120.800604059369,132355,Car,15
2353.339265807489,599801,Car,30
1300.590000497576,29220,Car,30
1761.3839038486472,24712,Car,60
2074.489690088129,34616,Car,18
852.2121856357111,191766,Car,10
1431.9573586634851,15883,Car,10
2555.3260895180456,22215,Car,35
3294.079719525894,76359,Car,30
2491.078888450936,12700,Walk,5
174.56814913513352,166700,Car,10
25.619850479192458,63123,Car,35
13.76742514144423,28057,Car,40
993.3141230239684,69877,Car,15
17.21289909831594,125000,Car,23
310.3737561341912,91778,Car,141
661.1329156252076,28159,Car,20
4027.83716235682,49000,Car,30
4512.853558775294,9774,Walk,20
592.570902951511,17000,Car,9
105.0779219995264,20859,Car,15
16.6978047375029,12000,Car,10
137.84136844086063,39632,Car,10
2209.848422552094,48560,Car,50
224.17696498902583,11199,Car,10
1505.8902495711786,86328,Car,30
2031.264236909056,75000,Car,5
250.69975959253347,53955,Car,20
5417.121999091299,17308,Other,12
2209.848422552094,32331,Transit,65
4233.045660011577,35000,Car,20
1378.4329481561615,125152,Car,30
1793.2539565756697,20000,Car,60
406.4624805683746,50000,Car,5
2920.646488778098,6988,Car,25
6835.090924202067,76706,Car,45
16.967153641313576,40000,Car,40
335.7165695408017,27700,Car,20
1050.392515961858,8523,Car,20
2555.3260895180456,12932,Car,15
263.9300065775184,13317,Car,25
779.8607376082659,30544,Car,10
54.36875488796769,50394,Car,20
4041.6688291138985,175785,Car,25
6339.755456814353,152718,Car,90
2647.0255236680027,106537,Car,70
15303.931162096484,25453,Car,45
2254.731523362627,36222,Car,100
430.3458120715692,10429,Car,10
5484.827170757685,10791,Car,65
15303.931162096484,6179,Transit,20
8030.686223388457,73006,Car,35
783.3004732182135,50061,Car,20
4259.5252447824805,910,Transit,90
661.1329156252076,69249,Car,10
852.2121856357111,42615,Car,45
3476.5529712446337,33900,Car,5
2353.339265807489,98199,Car,75
40.24518332906763,50906,Car,15
4813.583350217678,45000,Car,15
669.6463533498307,32580,Car,30
2074.489690088129,16000,Car,20
3350.685266425556,70358,Car,10
3915.622294327765,255519,Car,40
543.0700466147426,30544,Car,25
546.7912909769457,15644,Car,20
1213.610538981761,184527,Car,25
2973.531734799079,11506,Car,25
1233.672103688236,52876,Car,10
2625.319322877755,62576,Car,30
3508.205075583506,111757,Car,40
1095.2413525406157,6570,Car,15
250.69975959253347,19816,Car,10
2089.9599963266373,21798,Car,30
2519.6515280865733,19816,Car,30
833.8672116831425,26178,Car,30
62.75167662824791,61087,Car,90
1050.392515961858,47975,Car,5
15.495200130247753,31961,Car,15
3117.255494319013,9162,Car,40
28.97569410034945,25000,Car,40
4512.853558775294,61509,Car,15
114.67716469979418,31288,Car,20
1927.98541304821,75341,Car,10
1761.3839038486472,6392,Car,15
2973.531734799079,4072,Car,10
964.2654641443904,10429,Walk,5
